qubix_sku,meridian_article,match_confidence,matched_on
QX-BAK-581,AV-95147,0.64,2025-06-19
QX-FRZ-582,AV-95161,0.74,2024-11-01
QX-DRK-583,AV-95154,0.85,2026-02-22
QX-HHD-584,AV-95168,0.67,2025-09-27
QX-HHD-586,AV-95175,0.87,2025-06-02
QX-PRO-587,AV-95168,0.85,2024-09-25
QX-FRZ-588,AV-95182,0.73,2024-07-23
QX-CER-589,AV-95189,0.66,2025-06-10
QX-BAK-590,AV-95196,0.79,2024-12-03
QX-HBC-591,AV-95203,0.94,2025-01-07
QX-TIN-593,AV-95210,0.93,2025-03-09
QX-CER-594,AV-95217,1.00,2025-02-05
QX-HHD-595,AV-95224,0.86,2025-03-14
QX-PRO-596,AV-95231,0.64,2025-06-05
QX-BWS-597,AV-95238,0.84,2025-11-30
QX-BAK-598,AV-95245,0.98,2025-09-30
QX-BAK-599,AV-95252,0.92,2025-11-17
QX-DRK-600,AV-95259,0.89,2025-10-15
QX-DRK-601,AV-95266,0.77,2025-10-13
QX-CER-606,AV-95273,0.72,2025-09-25
QX-CHL-609,AV-95280,0.67,2024-05-21
QX-BAK-610,AV-95287,0.75,2024-06-15
QX-BWS-611,AV-95294,0.91,2024-10-26
QX-BAK-613,AV-95301,0.87,2025-04-11
QX-FRZ-615,AV-95308,0.76,2025-08-15
QX-HHD-616,AV-95315,0.81,2024-07-10
QX-CHL-617,AV-95322,0.73,2024-12-03
QX-DRY-618,AV-95329,0.92,2025-10-18
QX-DRY-620,AV-95336,0.84,2024-07-11
QX-HHD-621,AV-95343,0.77,2024-08-05
QX-FRZ-622,AV-95350,0.81,2026-01-09
QX-DRK-624,AV-95357,0.75,2024-10-20
QX-FRZ-625,AV-95364,0.97,2025-09-17
QX-TIN-626,AV-95371,0.90,2025-05-22
QX-CHL-627,AV-95378,0.97,2024-12-27
QX-DRK-628,AV-95385,0.88,2024-07-26
QX-TIN-630,AV-95392,0.78,2024-11-19
QX-BAK-633,AV-95399,0.94,2025-03-14
QX-HBC-636,AV-95406,0.67,2024-09-18
QX-PRO-637,AV-95413,0.91,2025-11-17
QX-BAK-638,AV-95420,0.96,2025-04-18
QX-DRK-639,AV-95427,0.72,2025-11-24
QX-DRY-640,AV-95434,0.98,2024-10-01
QX-CHL-642,AV-95441,0.64,2024-12-25
QX-BAK-644,AV-95448,0.71,2024-06-12
QX-FRZ-646,AV-95455,0.65,2025-12-04
QX-CER-647,AV-95448,0.71,2024-12-05
QX-BAK-648,AV-95462,0.88,2024-12-19
QX-BWS-649,AV-95469,0.64,2025-12-19
QX-DRY-652,AV-95476,0.74,2025-03-24
QX-BAK-653,AV-95483,0.76,2025-09-04
QX-PET-654,AV-95490,0.89,2024-11-03
QX-CER-655,AV-95497,0.74,2026-02-11
QX-DRY-658,AV-95504,0.62,2024-09-20
QX-BAK-659,AV-95511,0.63,2025-12-22
QX-HHD-660,AV-95518,0.66,2024-12-20
QX-CER-663,AV-95525,0.80,2024-12-08
QX-DRY-664,AV-95532,0.81,2026-01-01
QX-HHD-665,AV-95539,0.87,2025-08-22
QX-CER-666,AV-95546,0.66,2025-11-13
QX-DRY-667,AV-95553,0.66,2024-11-24
QX-BWS-668,AV-95560,0.66,2025-07-20
QX-CER-671,AV-95567,0.70,2025-09-22
QX-PET-674,AV-95574,0.71,2026-01-26
QX-TIN-677,AV-95581,1.00,2025-01-16
QX-BAK-678,AV-95588,0.92,2025-12-23
QX-FRZ-679,AV-95595,0.70,2025-10-30
QX-FRZ-680,AV-95602,0.78,2024-08-30
QX-CER-681,AV-95609,0.69,2025-06-06
QX-HHD-682,AV-95616,0.95,2025-09-13
QX-FRZ-687,AV-95623,0.91,2024-08-21
QX-BAK-688,AV-95630,0.68,2025-12-30
QX-BAK-689,AV-95637,0.79,2024-11-27
QX-CER-690,AV-95644,0.94,2025-09-07
QX-HBC-691,AV-95651,0.94,2024-08-24
QX-BAK-692,AV-95658,0.88,2024-11-04
QX-BAK-693,AV-95665,0.89,2025-01-15
QX-CHL-695,AV-95672,0.69,2025-07-27
QX-FRZ-696,AV-95679,0.70,2025-03-08
QX-DRY-698,AV-95686,0.97,2025-11-18
QX-PRO-699,AV-95693,0.79,2024-12-27
QX-PET-700,AV-95700,0.84,2024-09-17
QX-CER-702,AV-95707,0.80,2025-09-21
QX-BWS-703,AV-95714,0.93,2025-05-18
QX-FRZ-704,AV-95721,0.95,2025-06-17
QX-FRZ-706,AV-95728,0.79,2025-01-08
QX-CHL-707,AV-95735,0.74,2025-03-22
QX-PET-708,AV-95742,0.86,2024-09-20
QX-CER-709,AV-95749,0.94,2024-08-17
QX-TIN-710,AV-95756,0.93,2024-10-14
QX-BAK-711,AV-95763,0.86,2025-08-20
QX-PRO-713,AV-95770,0.66,2024-09-10
QX-DRK-714,AV-95777,0.77,2025-07-10
QX-BAK-715,AV-95784,0.72,2025-12-31
QX-CHL-716,AV-95791,0.88,2024-11-10
QX-PET-717,AV-95798,0.64,2025-10-11
QX-PRO-720,AV-95805,0.77,2026-02-23
QX-TIN-721,AV-95812,0.78,2024-07-22
QX-DRK-722,AV-95819,0.97,2024-06-03
QX-CER-724,AV-95826,0.96,2024-08-18
QX-PRO-726,AV-95833,0.93,2025-04-02
QX-HBC-727,AV-95840,0.97,2024-12-01
QX-HBC-729,AV-95847,0.86,2025-09-08
QX-DRK-730,AV-95854,0.73,2024-10-04
QX-CHL-732,AV-95861,0.91,2024-10-22
QX-DRK-733,AV-95868,0.69,2025-04-10
QX-CHL-734,AV-95875,0.69,2025-09-21
QX-FRZ-735,AV-95882,0.89,2025-10-30
QX-DRK-736,AV-95889,0.89,2025-04-13
QX-HBC-737,AV-95896,1.00,2024-05-26
QX-CHL-738,AV-95903,0.90,2025-01-13
QX-PRO-739,AV-95896,0.78,2025-08-29
QX-PET-741,AV-95910,0.75,2025-08-30
QX-FRZ-742,AV-95917,0.73,2025-05-08
QX-FRZ-743,AV-95910,0.73,2025-01-09
QX-CHL-744,AV-95924,0.87,2024-05-24
QX-HHD-745,AV-95931,0.87,2024-11-15
QX-DRK-746,AV-95938,0.73,2025-01-26
QX-BWS-747,AV-95945,0.87,2024-12-02
QX-PRO-748,AV-95952,0.85,2025-02-06
QX-DRY-749,AV-95959,0.72,2024-08-11
QX-TIN-751,AV-95966,0.77,2025-08-11
QX-PET-752,AV-95973,0.74,2025-05-30
QX-TIN-753,AV-95980,0.84,2024-10-21
QX-DRY-755,AV-95987,0.71,2024-11-03
QX-DRK-756,AV-95994,0.64,2025-01-26
QX-DRK-757,AV-96001,0.63,2024-06-02
QX-HHD-758,AV-96008,0.71,2025-07-28
QX-FRZ-759,AV-96015,0.94,2025-07-04
QX-CHL-760,AV-96022,0.93,2024-08-20
QX-BAK-761,AV-96029,0.64,2025-11-17
QX-HHD-762,AV-96022,0.85,2024-07-23
QX-HBC-764,AV-96036,0.69,2024-09-24
QX-BAK-765,AV-96043,0.63,2024-12-14
QX-BAK-766,AV-96050,0.64,2025-05-29
QX-BWS-767,AV-96057,0.83,2024-12-21
QX-BAK-769,AV-96064,0.97,2025-06-01
QX-BAK-770,AV-96071,0.73,2025-11-20
QX-PET-771,AV-96078,0.75,2024-10-23
QX-DRY-773,AV-96085,0.88,2025-10-12
QX-FRZ-774,AV-96078,0.69,2025-03-02
QX-TIN-775,AV-96092,0.88,2026-01-19
QX-BAK-777,AV-96099,0.81,2025-01-03
QX-HBC-778,AV-96106,0.66,2025-08-17
QX-DRK-780,AV-96113,0.79,2025-03-20
QX-HBC-782,AV-96120,0.93,2024-05-24
QX-BWS-783,AV-96127,0.77,2025-03-22
QX-BWS-785,AV-96134,0.69,2024-11-01
QX-CER-786,AV-96141,0.67,2025-07-23
QX-FRZ-788,AV-96148,0.89,2024-09-05
QX-PET-789,AV-96155,0.87,2024-11-25
QX-HHD-790,AV-96162,0.71,2024-11-25
QX-HHD-791,AV-96155,0.70,2024-08-03
QX-PRO-793,AV-96169,0.76,2024-09-19
QX-HBC-794,AV-96176,0.84,2024-09-23
QX-HBC-795,AV-96183,0.81,2025-06-26
QX-BAK-796,AV-96190,1.00,2025-09-24
QX-BWS-797,AV-96197,0.81,2026-01-26
QX-BWS-798,AV-96204,0.98,2025-10-02
QX-BAK-799,AV-96211,0.82,2025-12-25
QX-HBC-800,AV-96218,0.92,2024-05-14
QX-DRY-802,AV-96225,0.83,2024-05-31
QX-HHD-803,AV-96232,0.86,2025-02-04
QX-HBC-805,AV-96239,0.89,2024-11-09
QX-HBC-806,AV-96246,0.76,2025-04-18
QX-PET-807,AV-96253,0.66,2024-10-15
QX-HHD-808,AV-96260,0.73,2024-12-23
QX-HHD-809,AV-96267,0.70,2024-05-02
QX-PET-810,AV-96274,0.73,2024-12-26
QX-DRY-811,AV-96281,0.88,2025-03-30
QX-BWS-814,AV-96288,0.92,2025-01-01
QX-HHD-815,AV-96295,0.70,2025-11-02
QX-PRO-817,AV-96302,0.81,2025-01-13
QX-BAK-818,AV-96309,0.97,2024-09-18
QX-TIN-819,AV-96316,0.94,2026-02-25
QX-BAK-820,AV-96323,0.86,2024-09-03
QX-CHL-821,AV-96330,0.99,2024-05-18
QX-PET-822,AV-96337,0.80,2025-03-19
QX-DRK-823,AV-96344,0.96,2025-04-10
QX-FRZ-824,AV-96351,0.94,2025-08-24
QX-HBC-826,AV-96358,0.72,2024-06-13
QX-DRK-827,AV-96365,0.70,2025-09-22
QX-HHD-829,AV-96372,0.89,2024-09-09
QX-CER-831,AV-96379,0.83,2025-01-10
QX-FRZ-832,AV-96386,0.80,2025-11-11
QX-PRO-833,AV-96379,0.95,2024-11-22
QX-DRK-834,AV-96393,0.78,2025-03-20
QX-DRK-835,AV-96400,0.92,2024-08-01
QX-BWS-837,AV-96407,0.81,2025-03-23
QX-BWS-838,AV-96414,0.81,2026-01-08
QX-DRK-839,AV-96421,0.84,2024-10-21
QX-HBC-840,AV-96428,0.70,2025-04-14
QX-HHD-841,AV-96435,0.97,2025-07-25
QX-PET-842,AV-96442,0.93,2024-06-30
QX-DRK-843,AV-96449,0.90,2026-02-24
QX-HBC-844,AV-96456,0.70,2024-11-03
QX-CHL-846,AV-96463,0.72,2024-06-09
QX-HBC-847,AV-96470,0.90,2024-10-10
QX-DRK-849,AV-96477,0.90,2025-05-05
QX-BWS-850,AV-96484,0.73,2024-07-18
QX-DRY-851,AV-96491,0.92,2025-12-12
QX-PRO-852,AV-96498,0.87,2025-02-19
QX-PET-853,AV-96505,0.80,2026-01-12
QX-HHD-854,AV-96512,0.78,2025-03-18
QX-FRZ-855,AV-96519,0.70,2024-08-01
QX-HBC-857,AV-96526,0.76,2025-02-25
QX-PRO-858,AV-96533,0.86,2025-02-22
QX-FRZ-859,AV-96540,0.89,2024-05-25
QX-BAK-860,AV-96547,0.77,2024-09-13
QX-CHL-862,AV-96554,0.65,2026-02-09
QX-BWS-864,AV-96547,0.81,2025-12-13
QX-TIN-865,AV-96561,0.73,2024-10-17
QX-CER-866,AV-96554,0.77,2025-10-31
QX-HBC-868,AV-96554,0.89,2024-07-30
QX-FRZ-869,AV-96568,0.63,2026-01-27
QX-DRY-870,AV-96575,0.99,2024-07-28
QX-DRK-871,AV-96582,0.85,2025-11-04
QX-TIN-873,AV-96589,0.62,2025-04-02
QX-CHL-874,AV-96596,0.96,2024-12-02
QX-BWS-875,AV-96603,0.98,2025-01-29
QX-BWS-876,AV-96610,0.90,2025-07-01
QX-BAK-877,AV-96617,0.71,2025-09-12
QX-TIN-878,AV-96624,0.98,2025-07-18
QX-PRO-879,AV-96631,0.96,2024-09-05
QX-TIN-881,AV-96638,0.71,2024-11-05
QX-DRK-882,AV-96645,0.87,2024-07-17
QX-CHL-883,AV-96652,0.69,2026-03-02
QX-CER-884,AV-96659,0.62,2024-10-18
QX-BWS-885,AV-96666,0.67,2025-11-15
QX-CER-887,AV-96673,0.97,2025-06-13
QX-PRO-889,AV-96666,0.65,2025-08-13
QX-FRZ-890,AV-96680,0.64,2024-12-17
QX-CHL-891,AV-96687,0.89,2025-05-25
QX-TIN-892,AV-96694,0.78,2026-02-24
QX-CHL-893,AV-96701,0.99,2025-03-31
QX-HHD-894,AV-96708,0.67,2025-09-19
QX-HHD-895,AV-96715,0.93,2025-12-24
QX-FRZ-896,AV-96722,0.82,2024-06-16
QX-BWS-897,AV-96729,0.67,2025-02-09
QX-TIN-898,AV-96736,0.79,2025-11-07
QX-BAK-899,AV-96743,0.95,2025-04-10
QX-BAK-900,AV-96750,0.82,2025-02-17
QX-HBC-901,AV-96743,0.74,2024-11-19
QX-PET-902,AV-96757,0.90,2024-12-01
QX-DRY-903,AV-96764,0.69,2024-08-10
QX-FRZ-905,AV-96771,0.75,2024-11-05
QX-PRO-906,AV-96778,0.65,2024-09-22
QX-BWS-907,AV-96785,0.63,2025-02-12
QX-BWS-908,AV-96792,0.87,2024-08-24
QX-BWS-909,AV-96799,0.88,2024-06-03
QX-DRK-910,AV-96806,0.75,2026-02-13
QX-BWS-911,AV-96813,0.62,2025-10-25
QX-BAK-913,AV-96820,0.80,2024-09-19
QX-DRY-914,AV-96827,0.76,2025-08-26
QX-FRZ-915,AV-96834,0.90,2025-04-18
QX-BWS-918,AV-96841,0.96,2025-05-02
QX-PET-919,AV-96848,0.64,2025-10-12
QX-FRZ-921,AV-96855,0.93,2025-04-01
QX-HBC-923,AV-96862,0.73,2024-08-26
QX-TIN-926,AV-96869,0.82,2024-09-23
QX-FRZ-928,AV-96876,0.64,2024-10-13
QX-BAK-929,AV-96883,0.80,2025-07-20
QX-PET-930,AV-96890,0.83,2025-07-28
QX-HBC-932,AV-96897,0.93,2025-04-02
QX-TIN-933,AV-96904,0.92,2025-12-28
QX-TIN-934,AV-96911,0.90,2024-09-06
QX-DRK-935,AV-96918,0.86,2024-07-31
QX-FRZ-936,AV-96911,0.97,2024-11-18
QX-HHD-937,AV-96925,0.76,2024-09-10
QX-CHL-938,AV-96918,0.71,2026-02-05
QX-DRY-940,AV-96932,0.81,2025-12-16
QX-CER-941,AV-96925,0.97,2024-09-12
QX-BAK-942,AV-96939,0.66,2025-04-27
QX-PRO-944,AV-96946,0.65,2025-12-09
QX-TIN-945,AV-96953,0.66,2025-04-03
QX-CHL-946,AV-96960,0.87,2024-12-31
QX-FRZ-947,AV-96967,0.95,2025-08-19
QX-HBC-948,AV-96974,0.65,2024-10-07
QX-PRO-949,AV-96967,0.88,2025-08-15
QX-PRO-952,AV-96967,1.00,2025-12-12
QX-HBC-953,AV-96967,0.63,2025-07-12
QX-PRO-954,AV-96981,0.85,2025-04-19
QX-HHD-956,AV-96988,0.84,2025-09-09
QX-CHL-958,AV-96995,0.65,2025-07-21
QX-PRO-959,AV-97002,0.70,2024-11-10
QX-PET-960,AV-97009,0.86,2026-02-28
QX-FRZ-961,AV-97016,0.62,2025-03-12
QX-DRY-962,AV-97023,0.99,2024-10-18
QX-PRO-963,AV-97030,0.79,2025-04-06
QX-HBC-964,AV-97037,0.70,2024-12-16
QX-HBC-965,AV-97044,0.86,2025-06-04
QX-FRZ-966,AV-97051,0.76,2025-09-22
QX-HHD-967,AV-97058,0.71,2026-01-29
QX-CER-968,AV-97065,0.66,2025-02-19
QX-HHD-969,AV-97072,0.69,2025-06-22
QX-TIN-970,AV-97079,0.78,2024-07-20
QX-TIN-971,AV-97086,0.88,2024-10-07
QX-HBC-973,AV-97093,0.78,2024-06-12
QX-FRZ-975,AV-97086,0.65,2026-02-18
QX-TIN-976,AV-97100,0.82,2025-11-01
QX-BWS-977,AV-97107,0.78,2025-12-20
QX-HHD-979,AV-97114,0.83,2025-07-17
QX-FRZ-980,AV-97121,0.73,2024-12-04
QX-FRZ-981,AV-97128,0.64,2024-05-26
QX-DRY-982,AV-97121,0.88,2025-05-24
QX-DRY-986,AV-97135,0.98,2024-11-26
QX-CER-987,AV-97142,0.69,2024-08-16
QX-HHD-989,AV-97135,0.88,2025-06-05
QX-TIN-990,AV-97149,0.96,2024-07-02
QX-CER-991,AV-97156,0.87,2024-12-11
QX-BWS-992,AV-97163,0.76,2024-05-12
QX-CER-993,AV-97170,0.67,2024-10-09
QX-DRK-994,AV-97177,0.77,2025-11-29
QX-CER-996,AV-97184,0.69,2025-12-12
QX-FRZ-997,AV-97191,0.90,2025-09-01
QX-TIN-998,AV-97198,0.81,2024-12-30
QX-CER-999,AV-97205,0.92,2024-12-27
QX-CER-000,AV-97212,0.78,2024-08-10
QX-PRO-001,AV-97219,0.94,2025-08-15
QX-PET-002,AV-97226,0.73,2024-08-30
QX-HBC-004,AV-97233,0.69,2025-04-15
QX-BWS-006,AV-97240,0.66,2025-09-05
QX-DRK-007,AV-97247,0.79,2025-05-13
QX-TIN-008,AV-97254,0.76,2025-02-04
QX-TIN-009,AV-97261,0.90,2025-03-28
QX-CHL-010,AV-97268,0.72,2025-08-17
QX-HBC-011,AV-97275,0.92,2025-10-14
QX-HHD-013,AV-97268,0.67,2025-10-03
QX-PET-016,AV-97282,0.94,2025-10-30
QX-TIN-017,AV-97289,0.80,2026-02-17
QX-FRZ-019,AV-97296,0.64,2025-04-30
QX-CHL-021,AV-97303,0.69,2026-02-21
QX-HHD-023,AV-97310,0.71,2025-12-06
QX-DRK-024,AV-97317,0.71,2024-08-12
QX-FRZ-025,AV-97324,0.83,2025-08-31
QX-PRO-026,AV-97331,0.84,2025-05-04
QX-HBC-027,AV-97338,0.88,2025-04-02
QX-HHD-028,AV-97345,0.90,2026-01-21
QX-DRY-030,AV-97352,0.88,2024-05-23
QX-HBC-031,AV-97359,0.70,2024-11-23
QX-TIN-033,AV-97366,0.80,2024-06-13
QX-TIN-035,AV-97373,0.87,2026-01-11
QX-BAK-036,AV-97380,0.71,2025-01-11
QX-PRO-039,AV-97387,0.67,2024-10-28
QX-HBC-040,AV-97394,0.80,2025-12-15
QX-DRY-041,AV-97401,0.73,2024-07-06
QX-DRK-042,AV-97408,0.70,2025-01-22
QX-FRZ-043,AV-97415,0.81,2025-08-23
QX-CER-044,AV-97422,0.87,2024-07-18
QX-HHD-045,AV-97429,0.78,2024-08-19
QX-BAK-046,AV-97436,0.91,2025-08-12
QX-CER-047,AV-97443,0.90,2025-05-06
QX-HBC-048,AV-97450,0.67,2025-06-03
QX-HBC-049,AV-97457,0.75,2024-11-05
QX-BWS-050,AV-97464,0.72,2025-05-20
QX-PET-052,AV-97471,0.84,2025-03-28
QX-FRZ-053,AV-97478,0.67,2025-10-20
QX-FRZ-056,AV-97485,0.62,2025-10-06
QX-FRZ-057,AV-97492,0.78,2024-10-03
QX-DRY-058,AV-97499,0.81,2024-05-08
QX-PET-059,AV-97506,0.85,2024-08-28
QX-FRZ-060,AV-97499,0.85,2025-09-30
QX-BWS-061,AV-97513,0.92,2024-06-10
QX-BWS-062,AV-97520,0.71,2025-07-31
QX-HHD-063,AV-97527,0.81,2025-11-14
QX-FRZ-064,AV-97534,0.71,2025-07-31
QX-PET-065,AV-97541,0.82,2025-04-14
QX-TIN-066,AV-97548,0.84,2024-11-07
QX-HBC-067,AV-97555,0.68,2024-07-18
QX-TIN-068,AV-97562,0.88,2025-06-15
QX-CER-069,AV-97569,0.97,2025-12-26
QX-DRY-070,AV-97576,0.67,2025-12-18
QX-DRK-071,AV-97583,0.71,2025-04-02
QX-FRZ-072,AV-97590,0.68,2024-08-04
QX-HHD-073,AV-97583,0.83,2024-11-03
QX-BWS-074,AV-97597,0.90,2024-11-16
QX-DRY-075,AV-97604,0.78,2025-11-13
QX-DRK-076,AV-97611,0.62,2025-06-09
QX-CER-077,AV-97618,0.91,2025-03-28
QX-HBC-078,AV-97625,0.88,2026-01-28
QX-PRO-079,AV-97632,0.68,2025-05-20
QX-FRZ-080,AV-97639,0.98,2025-06-14
QX-BWS-081,AV-97646,0.97,2024-10-01
QX-CER-082,AV-97653,0.78,2026-01-06
QX-DRY-083,AV-97660,0.86,2025-12-26
QX-DRK-085,AV-97667,0.94,2024-10-22
QX-BWS-087,AV-97674,0.91,2025-01-11
QX-TIN-088,AV-97681,0.99,2024-06-21
QX-HBC-089,AV-97688,0.72,2025-12-18
QX-PET-090,AV-97695,0.72,2024-07-18
QX-FRZ-094,AV-97702,0.83,2025-01-01
QX-DRK-095,AV-97709,0.67,2025-10-19
QX-FRZ-097,AV-97716,0.73,2025-12-06
QX-BAK-099,AV-97723,0.64,2025-09-27
QX-PET-101,AV-97730,0.91,2025-08-22
QX-DRY-104,AV-97737,0.92,2024-06-22
QX-BAK-105,AV-97744,0.83,2025-06-18
QX-FRZ-106,AV-97751,0.82,2025-06-21
QX-HBC-107,AV-97758,0.87,2024-12-08
QX-DRY-109,AV-97765,0.70,2025-04-13
QX-TIN-110,AV-97772,0.75,2025-02-15
QX-BWS-111,AV-97779,0.82,2025-06-02
QX-DRY-112,AV-97786,0.74,2025-03-17
QX-DRK-113,AV-97779,0.77,2025-04-18
QX-BWS-114,AV-97793,0.87,2024-12-17
QX-BWS-116,AV-97800,0.77,2024-12-01
QX-HHD-117,AV-97807,0.63,2024-06-19
QX-HHD-119,AV-97814,0.71,2024-08-18
QX-PRO-121,AV-97821,0.73,2025-06-07
QX-TIN-122,AV-97828,0.83,2025-04-17
QX-PET-123,AV-97835,0.80,2024-07-07
QX-DRK-124,AV-97842,0.88,2025-06-08
QX-HBC-125,AV-97849,0.85,2025-08-08
QX-DRY-126,AV-97856,0.81,2024-08-07
QX-BAK-127,AV-97863,0.63,2024-05-23
QX-PRO-128,AV-97856,0.84,2024-09-02
QX-BWS-129,AV-97870,0.96,2025-08-01
QX-DRK-130,AV-97877,0.95,2025-08-31
QX-CER-132,AV-97884,0.98,2026-02-28
QX-DRK-133,AV-97891,0.77,2025-10-06
QX-CER-134,AV-97898,0.83,2024-09-21
QX-BWS-135,AV-97905,0.81,2025-11-26
QX-CHL-136,AV-97912,0.66,2025-08-16
QX-TIN-137,AV-97905,0.67,2026-01-21
QX-BWS-138,AV-97919,0.89,2025-04-19
QX-TIN-140,AV-97926,0.80,2026-01-22
QX-DRY-141,AV-97933,0.73,2025-02-05
QX-DRK-142,AV-97926,0.74,2025-01-31
QX-FRZ-143,AV-97940,0.89,2025-06-24
QX-PRO-146,AV-97947,0.73,2024-10-19
QX-CHL-147,AV-97954,0.66,2024-05-17
QX-HBC-148,AV-97961,0.69,2025-06-08
QX-BWS-151,AV-97968,0.86,2024-06-13
QX-DRK-152,AV-97975,0.87,2026-01-08
QX-TIN-153,AV-97982,0.71,2026-02-27
QX-BAK-155,AV-97989,0.73,2025-02-23
QX-DRY-156,AV-97996,0.66,2024-05-18
QX-DRY-158,AV-98003,0.95,2024-08-16
QX-TIN-159,AV-98010,0.80,2024-12-15
QX-CHL-160,AV-98017,0.93,2025-02-28
QX-FRZ-161,AV-98024,0.74,2025-11-22
QX-BWS-162,AV-98031,0.85,2024-12-26
QX-PRO-163,AV-98038,0.85,2024-12-26
QX-DRK-164,AV-98045,0.67,2025-06-28
QX-BWS-167,AV-98038,0.88,2024-12-19
QX-HHD-168,AV-98052,0.68,2024-09-01
QX-HBC-169,AV-98059,0.73,2024-11-03
QX-PRO-171,AV-98066,0.74,2025-01-05
QX-CHL-172,AV-98073,0.67,2026-02-14
QX-HHD-173,AV-98080,0.94,2025-02-09
QX-DRK-176,AV-98087,0.81,2024-08-19
QX-DRK-177,AV-98094,0.90,2025-10-30
QX-CER-178,AV-98101,0.94,2024-09-03
QX-HHD-179,AV-98108,0.70,2025-02-05
QX-CHL-180,AV-98115,0.92,2024-12-03
QX-PET-181,AV-98122,0.84,2024-06-24
QX-HHD-182,AV-98129,0.99,2025-03-12
QX-DRY-183,AV-98136,0.99,2025-09-29
QX-BAK-184,AV-98129,0.99,2024-12-20
QX-CHL-186,AV-98143,0.79,2026-01-13
QX-HBC-187,AV-98150,0.75,2024-09-13
QX-HBC-189,AV-98157,0.90,2025-02-05
QX-PET-192,AV-98164,0.88,2024-11-13
QX-CHL-195,AV-98171,0.64,2024-08-02
QX-DRY-196,AV-98178,1.00,2025-03-10
QX-HHD-197,AV-98185,0.92,2024-11-08
QX-BAK-198,AV-98192,0.87,2026-02-15
QX-PRO-200,AV-98199,0.86,2026-02-05
QX-TIN-202,AV-98206,0.91,2024-12-27
QX-HHD-203,AV-98213,0.92,2025-06-30
QX-CHL-205,AV-98220,0.92,2025-08-09
QX-HHD-206,AV-98227,0.80,2026-02-23
QX-CHL-207,AV-98234,0.73,2025-11-10
QX-HBC-208,AV-98241,0.95,2025-10-15
QX-DRK-209,AV-98248,0.90,2025-08-18
QX-TIN-210,AV-98255,1.00,2025-09-07
QX-CHL-211,AV-98262,0.84,2024-06-05
QX-BAK-217,AV-98269,0.87,2024-07-18
QX-PET-221,AV-98276,0.80,2024-07-03
QX-HBC-222,AV-98283,0.66,2024-07-14
QX-DRY-224,AV-98290,0.91,2024-11-12
QX-HHD-225,AV-98297,0.72,2024-12-26
QX-CER-228,AV-98304,0.81,2024-12-24
QX-HHD-229,AV-98311,0.95,2024-08-27
QX-BWS-230,AV-98318,0.73,2025-04-03
QX-HHD-231,AV-98325,0.76,2025-10-21
QX-CHL-232,AV-98332,0.66,2025-08-27
QX-CHL-233,AV-98339,0.85,2025-05-13
QX-BAK-235,AV-98346,0.69,2025-05-29
QX-BWS-236,AV-98353,0.63,2025-08-07
QX-BWS-237,AV-98360,0.82,2025-09-08
QX-HHD-238,AV-98353,0.84,2025-02-26
QX-FRZ-240,AV-98367,0.76,2025-12-21
QX-DRY-241,AV-98374,0.91,2025-02-25
QX-CHL-242,AV-98381,0.96,2024-05-30
QX-DRK-243,AV-98388,0.63,2025-01-03
QX-DRK-244,AV-98395,0.85,2024-09-30
QX-CER-245,AV-98402,0.83,2025-01-28
QX-CHL-246,AV-98409,0.99,2025-01-11
QX-DRY-247,AV-98416,0.79,2025-06-06
QX-HBC-248,AV-98423,0.99,2024-08-04
QX-HHD-249,AV-98430,0.85,2025-08-02
QX-CER-251,AV-98437,0.64,2025-04-04
QX-BAK-252,AV-98444,0.90,2024-05-17
QX-CHL-253,AV-98451,0.98,2025-12-12
QX-BAK-254,AV-98458,0.74,2025-02-15
QX-FRZ-255,AV-98465,0.69,2025-09-20
QX-DRK-256,AV-98458,0.62,2024-10-12
QX-TIN-257,AV-98472,0.89,2025-09-12
QX-DRY-258,AV-98479,0.82,2025-08-16
QX-PET-260,AV-98486,0.96,2024-06-08
QX-DRY-261,AV-98493,0.63,2025-01-24
QX-HHD-263,AV-98500,0.72,2024-07-08
QX-CER-264,AV-98507,0.67,2025-10-17
QX-BWS-265,AV-98514,0.93,2026-01-23
QX-BAK-268,AV-98521,0.75,2025-03-13
QX-PET-269,AV-98528,0.80,2025-03-05
QX-BWS-270,AV-98535,1.00,2025-02-11
QX-BWS-271,AV-98542,0.76,2024-10-13
QX-CER-272,AV-98549,0.74,2024-07-15
QX-BAK-275,AV-98556,0.73,2024-07-09
QX-CER-276,AV-98563,1.00,2025-04-14
QX-TIN-277,AV-98570,0.83,2024-12-27
QX-TIN-278,AV-98577,0.65,2024-11-20
QX-DRK-279,AV-98584,0.84,2025-01-21
QX-HBC-280,AV-98591,0.73,2024-05-26
QX-BWS-281,AV-98598,0.79,2025-02-07
QX-DRY-282,AV-98605,0.90,2025-08-22
QX-PET-284,AV-98612,0.67,2024-09-19
QX-CER-285,AV-98619,0.97,2025-02-03
QX-HHD-286,AV-98626,0.97,2026-01-16
QX-CER-288,AV-98633,0.93,2024-11-13
QX-FRZ-290,AV-98640,0.66,2025-12-20
QX-DRK-291,AV-98647,0.70,2025-12-31
QX-HBC-294,AV-98654,0.74,2025-01-29
QX-HHD-295,AV-98647,0.80,2024-06-03
QX-CER-296,AV-98661,0.95,2024-10-06
QX-HBC-297,AV-98668,0.90,2024-05-17
